idx,year,sf_num,to_country,performer,song,running_final,running_sf,LY_SF_reciprocation,LY_SF_vote,LY_final_reciprocation,LY_final_vote,lyrics,lyrics_eng_translation,lyrics_all_english,lyrics_english,lyrics_english_mix,lyrics_url
0,2025,1,Albania,Shkodra Elektronike,Zjerm,,12,0.1,0.2105263158,0,0,"""Në këtë minutë, në këtë çast no paranoia Pas shiut, e ylbertë duket bota Nëpër rrugë asnjë ambulancë Kurrkush s'të flet me arrogancë Edhe sot na thanë Që s'prishet koha Përfundova nën ujë Kurrë s'mu tha goja Imagjino një minutë Pa ushtarë Pa jetimë Asnjë shishe në oqean Naftës i vjen era jargavan Lirinë e fjalës T'a mëson shkolla
Krijo në mua një zemër t'pastër Në natën time, të dërgoj dritën Aman miserere Aman miserere
Në zemrën time Në zemrën teme Ky minutë do të vazhdojë Njerëzit e mirë Njerëzit pa emër Kërcejnë valle në shpirt Jarna ne ti toka ime Ku kam lindë s'do të harroj Jarna ne ti bota ime Vazhdo më shndrit, shndrit, shndrit…
Zjerm Bjer mbi vallet tona tribale Që ushtojnë sa orteku kur bjen n'male Zjerm Njerëzit pa emën e njerëzit e dlirtë Njësoj këputen e bijnë Si shtatë thika që t'ngulen n'shpirt Zjerm Këtu flen deti, rana e hana E yjet s'i shohim se yjet na i shkel kamba Kur ecim n'jerm Zjerm Jena t'untë për flakë e dritë E t'kërkojmë N'kyt terr që s'pranë tuej Shndritë
Krijo në mua një zemër t'pastër Në natën time, të dërgoj dritën Aman miserere Aman miserere
Në zemrën time Në zemrën teme Ky minutë do të vazhdojë Njerëzit e mirë Njerëzit pa emër Kërcejnë valle në shpirt Jarna ne ti toka ime Ku kam lindë s'do të harroj Jarna ne ti bota ime Vаzhdo më shndrit, shndrit, ѕhndrit…""","At this minute, at this moment, no more paranoia After the rain the world seems like a rainbow No ambulances, roaming the streets No one arrogantly speaks Forecast for today, true: The skies still will be blue Ending under the water My mouth never dried up Imagine a minute, try Without soldiers With no orphans crying No bottles in the ocean Diesel smelling like lilac The freedom of speech Taught in a school class
Carve in me a clean heart I'll send the light, in my darkness, night Aman, miserere Aman, miserere
In my heart In this heart of mine This minute eternally lasts Good people blast Decent people Dance in their soul Hey, hop my soil I'll never forget the cradle I was born Oh, hey, my world Continue to shine, shine, shine…
Fire Fall upon our tribal wild dances As avalanche echoes, on mountains, rolls down Fire The nameless and pure people Fall and roll down the same As seven knives the soul straightly pierce Fire Here the sea, the sand and the moon sleep And the stars we do not see, trampled under the feet Sleepwalking to be free Fire For flames and light starving For you endlessly searching In this shining darkness thirsting for brightness
Carve in me a clean heart In the darkness, I'll send you the light Aman, miserere Aman, miserere
In my pulsating heart In my beating heart This minute will keep on keeping on Decent beings Good people Dance around in their soul Hey, hop my soil I'll never forget the cradle I wаs born Oh, hey, my beloved world Continue to shine, shine, ѕhine…""","At this minute, at this moment, no more paranoia After the rain the world seems like a rainbow No ambulances, roaming the streets No one arrogantly speaks Forecast for today, true: The skies still will be blue Ending under the water My mouth never dried up Imagine a minute, try Without soldiers With no orphans crying No bottles in the ocean Diesel smelling like lilac The freedom of speech Taught in a school class
Carve in me a clean heart I'll send the light, in my darkness, night Aman, miserere Aman, miserere
In my heart In this heart of mine This minute eternally lasts Good people blast Decent people Dance in their soul Hey, hop my soil I'll never forget the cradle I was born Oh, hey, my world Continue to shine, shine, shine…
Fire Fall upon our tribal wild dances As avalanche echoes, on mountains, rolls down Fire The nameless and pure people Fall and roll down the same As seven knives the soul straightly pierce Fire Here the sea, the sand and the moon sleep And the stars we do not see, trampled under the feet Sleepwalking to be free Fire For flames and light starving For you endlessly searching In this shining darkness thirsting for brightness
Carve in me a clean heart In the darkness, I'll send you the light Aman, miserere Aman, miserere
In my pulsating heart In my beating heart This minute will keep on keeping on Decent beings Good people Dance around in their soul Hey, hop my soil I'll never forget the cradle I wаs born Oh, hey, my beloved world Continue to shine, shine, ѕhine…""",0,0,https://eurovisionworld.com/eurovision/2025/albania
1,2025,2,Armenia,Parg,Survivor,,5,0.5,1,0.6,0.7837837838,"""Survivor
I got my bad shades on Jet-black am in ma zone I'm sick of the news I'm sick of the views I'm sick of the lies they've told
Come on and shine the light Come on and shine on me Guess you can see I don't believe Anything they told me
Letting me down Lifting me up Keeping me slow But I can't stop It's tearing me apart I'm alive Tryna look up, atop of a rock Climbing these heights, man I can't stop at all I'm standing tall
I'm a survivor Stay aliver Do or die in my prime I'm a fighter I'm a survivor Won't be tied up Break from the pain Take your place, I'll remind ya
I'm a survivor
Break from the pain Take your place, I'll remind ya
Kicking me, breaking me But I won't stop Pushing me, pulling me I will get up Hitting me, mocking me Stabbing me, crushing me Tearing me, burning me I'll never stop
I could have lost my way I could have made mistakes I bled a lot, more than you thought But I didn't fade away
Say you'll break me down And bring me to my knees You can do it Can you prove it? But you ain't got shit on me
I'm a survivor Break from the pain Take your place, I'll remind ya
Breathe in breathe out it's all done Never forget who you are Breathe in breathe out it's all done Never forget who you are
I'm a survivor Stay aliver Do or die in my prime I'm a fighter I'm a survivor Won't be tied up Break from the pain Take your place, I'll remind ya
I'm a survivor I'm a survivor
Break from the pain Take your place Survivor Break from the pain Take your place Survivor Break from the pain Take your place
I'm а ѕurvivor""",,"""Survivor
I got my bad shades on Jet-black am in ma zone I'm sick of the news I'm sick of the views I'm sick of the lies they've told
Come on and shine the light Come on and shine on me Guess you can see I don't believe Anything they told me
Letting me down Lifting me up Keeping me slow But I can't stop It's tearing me apart I'm alive Tryna look up, atop of a rock Climbing these heights, man I can't stop at all I'm standing tall
I'm a survivor Stay aliver Do or die in my prime I'm a fighter I'm a survivor Won't be tied up Break from the pain Take your place, I'll remind ya
I'm a survivor
Break from the pain Take your place, I'll remind ya
Kicking me, breaking me But I won't stop Pushing me, pulling me I will get up Hitting me, mocking me Stabbing me, crushing me Tearing me, burning me I'll never stop
I could have lost my way I could have made mistakes I bled a lot, more than you thought But I didn't fade away
Say you'll break me down And bring me to my knees You can do it Can you prove it? But you ain't got shit on me
I'm a survivor Break from the pain Take your place, I'll remind ya
Breathe in breathe out it's all done Never forget who you are Breathe in breathe out it's all done Never forget who you are
I'm a survivor Stay aliver Do or die in my prime I'm a fighter I'm a survivor Won't be tied up Break from the pain Take your place, I'll remind ya
I'm a survivor I'm a survivor
Break from the pain Take your place Survivor Break from the pain Take your place Survivor Break from the pain Take your place
I'm а ѕurvivor""",1,0,https://eurovisionworld.com/eurovision/2025/armenia
2,2025,2,Australia,Go-Jo,Milkshake Man,,1,0.35,0.7222222222,0,0,"""Come and take a sip from my special cup I heard that you could use a little pick me up What can get you high when you're oh so sad? It's the milk from the milkshake man
(Ah-ah-ah) Well I've got chocolate, vanilla, and lactose free (Ah-ah-ah) And a caramel banana, that you have got to see
You can call me the milkshake man I wanna shake and make the whole world dance They drink my milk all across the land I can tell you want a taste of the milkshake man
(Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man
The shake is not a drink - it's a state of mind Like a secret super power you were born to find Drink it every day and before you know it You'll be bigger… and stronger… with harder bones
(Ah-ah-ah) Well I've got mango, mojito, a fruit ballet (Ah-ah-ah) And did you see the naughty special on my crème brûlée?
You can call me the milkshake man I wanna shake up all the milk I can They know my name all across the land I can tell you want a taste of the milkshake man
(Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man
Excusez-moi monsieur, avez-vous du lait pour moi? When I say sweet sweet, you say yum yum Sweet, sweet (yum, yum) Sweet, sweet (yum, yum) When I say sweet sweet, you say yum yum Sweet, sweet (yum, yum) Sweet, sweet (yum, yum)
(Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkѕhake mаn""",,"""Come and take a sip from my special cup I heard that you could use a little pick me up What can get you high when you're oh so sad? It's the milk from the milkshake man
(Ah-ah-ah) Well I've got chocolate, vanilla, and lactose free (Ah-ah-ah) And a caramel banana, that you have got to see
You can call me the milkshake man I wanna shake and make the whole world dance They drink my milk all across the land I can tell you want a taste of the milkshake man
(Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man
The shake is not a drink - it's a state of mind Like a secret super power you were born to find Drink it every day and before you know it You'll be bigger… and stronger… with harder bones
(Ah-ah-ah) Well I've got mango, mojito, a fruit ballet (Ah-ah-ah) And did you see the naughty special on my crème brûlée?
You can call me the milkshake man I wanna shake up all the milk I can They know my name all across the land I can tell you want a taste of the milkshake man
(Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man
Excusez-moi monsieur, avez-vous du lait pour moi? When I say sweet sweet, you say yum yum Sweet, sweet (yum, yum) Sweet, sweet (yum, yum) When I say sweet sweet, you say yum yum Sweet, sweet (yum, yum) Sweet, sweet (yum, yum)
(Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkshake man (Sh-sh-shake me good, sh-sh-shake me good) I can tell you want a taste of the milkѕhake mаn""",1,0,https://eurovisionworld.com/eurovision/2025/australia
3,2025,2,Austria,JJ,Wasted Love,,6,0.5,0.7894736842,0.15,0.1351351351,"""I'm an ocean of love And you're scared of water You don't want to go under So you let me go under I reach out my hand But you watch me grow distant Drift out to the sea And far away in an instant
You left me in the deep end I'm drowning in my feelings How do you not see that?
Now that you're gone All I have is wasted love This wasted love Now that you're gone Can't fill my heart with wasted love This wasted love
When you let me go I barely stayed afloat I'm floating all alone Still I'm holding on to hope
Now that you're gone All I have is wasted love This wasted love Now that you're gone Can't fill my heart with wasted love This wasted love
Wasted love This wasted love (Wasted, wasted, wasted…) Wаѕted love""",,"""I'm an ocean of love And you're scared of water You don't want to go under So you let me go under I reach out my hand But you watch me grow distant Drift out to the sea And far away in an instant
You left me in the deep end I'm drowning in my feelings How do you not see that?
Now that you're gone All I have is wasted love This wasted love Now that you're gone Can't fill my heart with wasted love This wasted love
When you let me go I barely stayed afloat I'm floating all alone Still I'm holding on to hope
Now that you're gone All I have is wasted love This wasted love Now that you're gone Can't fill my heart with wasted love This wasted love
Wasted love This wasted love (Wasted, wasted, wasted…) Wаѕted love""",1,0,https://eurovisionworld.com/eurovision/2025/austria
4,2025,1,Azerbaijan,Mamagama,Run With U,,10,0.2,0.3333333333,0,0,"""Rhythm pulls me out Don't know where to start You electrify Never felt so high Every glance you're giving Every move, I'm feeling I cannot resist Pure in every twist
Shall we dim the lights Leave our fears behind? Play wrong till it's right Give it all tonight Heartbeat takes control Moves my body and soul Just one look at me And I can't stand the heat
Shadows in the neon light The night is young, the beat is tight Something in the air that makes me fall for you The way I do, aha Way I do aha Way I do aha Way I do aha
No matter what you do tonight I wanna run with U I wanna run with U No matter what you do tonight I wanna run with U I wanna run with U
(Running) (With me) (Running) (Let's go)
Shooting to the stars Can't get enough, so far You make me feel brand new Never felt this true Every laugh you're giving Every touch I'm living And I can't pull away Caught up in the play
Shall we dim the lights Leave our fears behind? Play wrong till it'ѕ right Give it all tonight
Way I do aha Way I do aha Way I do aha Way I do aha
No matter what you do tonight I wanna run with U I wanna run with U No matter what you do tonight I wanna run with U I wannа run with U""",,"""Rhythm pulls me out Don't know where to start You electrify Never felt so high Every glance you're giving Every move, I'm feeling I cannot resist Pure in every twist
Shall we dim the lights Leave our fears behind? Play wrong till it's right Give it all tonight Heartbeat takes control Moves my body and soul Just one look at me And I can't stand the heat
Shadows in the neon light The night is young, the beat is tight Something in the air that makes me fall for you The way I do, aha Way I do aha Way I do aha Way I do aha
No matter what you do tonight I wanna run with U I wanna run with U No matter what you do tonight I wanna run with U I wanna run with U
(Running) (With me) (Running) (Let's go)
Shooting to the stars Can't get enough, so far You make me feel brand new Never felt this true Every laugh you're giving Every touch I'm living And I can't pull away Caught up in the play
Shall we dim the lights Leave our fears behind? Play wrong till it'ѕ right Give it all tonight
Way I do aha Way I do aha Way I do aha Way I do aha
No matter what you do tonight I wanna run with U I wanna run with U No matter what you do tonight I wanna run with U I wannа run with U""",1,0,https://eurovisionworld.com/eurovision/2025/azerbaijan
5,2025,1,Belgium,Red Sebastian,Strobe Lights,,9,0.25,0.3684210526,0,0,"""Strobe lights, gettin' lost in your eyes Cotton candy haze, we're floating round in space
Fallin' where up is down Screamin', but won't make a sound Alice, show me your hand Take it to Wonderland
Step into the mirror to bright new dimensions Where no words are needed to feel the connection Where clocks never tick and where love is the ending Come down through the looking glass
Strobe lights, gettin' lost in your eyes Cotton candy haze, we're floating round in space Skin tight, never felt so alive Caught up in this maze It's where I wanna stay
Flyin' deep underground Silence never felt so loud
Step into the mirror to bright new dimensions Where no words are needed to feel the connection Where clocks never tick and where love is the ending Come down through the looking glass
Strobe lights, gettin' lost in your eyes Cotton candy haze, we're floating round in space Skin tight, I feel so alive Caught up in this maze It's where I wanna stay
That's where I wanna stay That's where I wanna ѕtаy""",,"""Strobe lights, gettin' lost in your eyes Cotton candy haze, we're floating round in space
Fallin' where up is down Screamin', but won't make a sound Alice, show me your hand Take it to Wonderland
Step into the mirror to bright new dimensions Where no words are needed to feel the connection Where clocks never tick and where love is the ending Come down through the looking glass
Strobe lights, gettin' lost in your eyes Cotton candy haze, we're floating round in space Skin tight, never felt so alive Caught up in this maze It's where I wanna stay
Flyin' deep underground Silence never felt so loud
Step into the mirror to bright new dimensions Where no words are needed to feel the connection Where clocks never tick and where love is the ending Come down through the looking glass
Strobe lights, gettin' lost in your eyes Cotton candy haze, we're floating round in space Skin tight, I feel so alive Caught up in this maze It's where I wanna stay
That's where I wanna stay That's where I wanna ѕtаy""",1,0,https://eurovisionworld.com/eurovision/2025/belgium
6,2025,1,Croatia,Marko Bošnjak,Poison Cake,,14,0.5,1,0.65,1,"""It's cool now in the kitchen That happens when you're bitten I'm stirring and stirring Deliciously pouring And I know you're gonna love this A better kind of justice I don't want it burning
One last thing, a sprinkle of my sweet revenge One last thing, a sprinkle of my sweet revenge
Made you something that I know you'll like Chocolate-covered sugar and spice Tasty, tasty, yum, yum, tasty Candy colours oh so nice Take a bite of my poison cake, yum
Poison cake Poison cake Poison cake Poison cake
Take a bite of my poison cake Been cooking in my cauldron late You're never ever gonna stay awake You're going down, down, down You thought I was a servant slave But I am just a serpent snake You better genuflect and pray You better genuflect and pray
Tingles of poison are hitting your veins ""What have you done?"" Your words are slurring as you fall down
One last thing, a sprinkle of my sweet revenge One last thing, a sprinkle of my sweet revenge
Made you something that I know you'll like Chocolate-covered sugar and spice Tasty, tasty, yum, yum, tasty Candy colours oh so nice Take a bite of my…
Poison cake Poison cake Poison cake Poison cake
It's not my fault, I got carried away I lost control when I started to bake A dash of death is bitter to swallow Don't be scared, you'll be buried tomorrow
Poison Poison cake Poison cake Poison cake Poison cake Poison cake Poison cake Poison cake Poiѕon cаke""",,"""It's cool now in the kitchen That happens when you're bitten I'm stirring and stirring Deliciously pouring And I know you're gonna love this A better kind of justice I don't want it burning
One last thing, a sprinkle of my sweet revenge One last thing, a sprinkle of my sweet revenge
Made you something that I know you'll like Chocolate-covered sugar and spice Tasty, tasty, yum, yum, tasty Candy colours oh so nice Take a bite of my poison cake, yum
Poison cake Poison cake Poison cake Poison cake
Take a bite of my poison cake Been cooking in my cauldron late You're never ever gonna stay awake You're going down, down, down You thought I was a servant slave But I am just a serpent snake You better genuflect and pray You better genuflect and pray
Tingles of poison are hitting your veins ""What have you done?"" Your words are slurring as you fall down
One last thing, a sprinkle of my sweet revenge One last thing, a sprinkle of my sweet revenge
Made you something that I know you'll like Chocolate-covered sugar and spice Tasty, tasty, yum, yum, tasty Candy colours oh so nice Take a bite of my…
Poison cake Poison cake Poison cake Poison cake
It's not my fault, I got carried away I lost control when I started to bake A dash of death is bitter to swallow Don't be scared, you'll be buried tomorrow
Poison Poison cake Poison cake Poison cake Poison cake Poison cake Poison cake Poison cake Poiѕon cаke""",1,0,https://eurovisionworld.com/eurovision/2025/croatia
7,2025,1,Cyprus,Theo Evan,Shh,,15,0.4,0.7222222222,0.3,0.3513513514,"""I've got golden locks and eyes so captivating I am famous for my beauty, who am I (Shh) I've been told I'm a little overconfident And this will be my downfall, who am I (Shh)
I fell in deep I lost my heartbeat Stuck in between The heaven and hell in me I fell in deep I lost my heartbeat Follow the bloodstream
Hush, hush If you know my name then please don't repeat it Hush, hush If you know my name then keep it a secret
In the ground In the sky In the afterlife In the dark In the light In the sweet divine Hush, hush, hush, hush, hush
My desire and my love got me in trouble I'm decay and I'm revival, who am I (Shh) Grabbed by jealousy and cheated by my enemy From tears and blood to flowers, who am I?
I fell in deep I lost my heartbeat Stuck in between The heaven and hell in me I fell in deep I lost my heartbeat Follow the bloodstream
Hush, hush If you know my name then please don't repeat it Hush, hush If you know my name then keep it a secret
In the ground In the sky In the afterlife In the dark In the light In the sweet divine Hush, hush, hush, hush, hush
(If you know my name) (You should know my name) (If you know my name)
Hush (If you know my name) (If you know my name)
In the ground In the sky In the afterlife In the dаrk In the light In the sweet divine Hush, hush, hush, huѕh (Shh)""",,"""I've got golden locks and eyes so captivating I am famous for my beauty, who am I (Shh) I've been told I'm a little overconfident And this will be my downfall, who am I (Shh)
I fell in deep I lost my heartbeat Stuck in between The heaven and hell in me I fell in deep I lost my heartbeat Follow the bloodstream
Hush, hush If you know my name then please don't repeat it Hush, hush If you know my name then keep it a secret
In the ground In the sky In the afterlife In the dark In the light In the sweet divine Hush, hush, hush, hush, hush
My desire and my love got me in trouble I'm decay and I'm revival, who am I (Shh) Grabbed by jealousy and cheated by my enemy From tears and blood to flowers, who am I?
I fell in deep I lost my heartbeat Stuck in between The heaven and hell in me I fell in deep I lost my heartbeat Follow the bloodstream
Hush, hush If you know my name then please don't repeat it Hush, hush If you know my name then keep it a secret
In the ground In the sky In the afterlife In the dark In the light In the sweet divine Hush, hush, hush, hush, hush
(If you know my name) (You should know my name) (If you know my name)
Hush (If you know my name) (If you know my name)
In the ground In the sky In the afterlife In the dаrk In the light In the sweet divine Hush, hush, hush, huѕh (Shh)""",1,0,https://eurovisionworld.com/eurovision/2025/cyprus
8,2025,2,Czechia,Adonxs,Kiss Kiss Goodbye,,12,0.4,0.7368421053,0,0,"""Blow me a kiss goodbye I don't want my tears to dry One kiss of love, one kiss of desperation In a moment two of us collide There's no other place to hide Only one survives, when the night arrives Will you be my ride or die?
You You seem so holy It almost fooled me Truly When you said you loved me It almost moved me
Kiss kiss goodbye (Kiss kiss goodbye) Kiss kiss goodbye (Kiss kiss goodbye) Now keep your half apologies Drunk in apathy Over and over again Kiss kiss
Caught in the motion you're wearing me out Tainted devotion, heart on the ground Only one survives, when the night arrives Will you be my ride or die?
Tell me why is that? You You seem so holy It almost fooled me Truly When you said you loved me It almost moved me
Kiss kiss goodbye (Kiss kiss goodbye) Kiss kiss goodbye (Kiss kiss goodbye) Now keep your half apologies Drunk in apathy Over and over again (Kiss kiss)
Blow me a kiss goodbye See how my tears run dry One kiss of love, won't feel the same tonight
Uhh… (Kiss kiss goodbye) (Kiss kiss goodbye) (Kiss kiss goodbye) (Kiss kiss goodbye) (Kiss kiss goodbye)
Now keep your half apologies Drunk in apathy Over and over agаin Kiss kisѕ""",,"""Blow me a kiss goodbye I don't want my tears to dry One kiss of love, one kiss of desperation In a moment two of us collide There's no other place to hide Only one survives, when the night arrives Will you be my ride or die?
You You seem so holy It almost fooled me Truly When you said you loved me It almost moved me
Kiss kiss goodbye (Kiss kiss goodbye) Kiss kiss goodbye (Kiss kiss goodbye) Now keep your half apologies Drunk in apathy Over and over again Kiss kiss
Caught in the motion you're wearing me out Tainted devotion, heart on the ground Only one survives, when the night arrives Will you be my ride or die?
Tell me why is that? You You seem so holy It almost fooled me Truly When you said you loved me It almost moved me
Kiss kiss goodbye (Kiss kiss goodbye) Kiss kiss goodbye (Kiss kiss goodbye) Now keep your half apologies Drunk in apathy Over and over again (Kiss kiss)
Blow me a kiss goodbye See how my tears run dry One kiss of love, won't feel the same tonight
Uhh… (Kiss kiss goodbye) (Kiss kiss goodbye) (Kiss kiss goodbye) (Kiss kiss goodbye) (Kiss kiss goodbye)
Now keep your half apologies Drunk in apathy Over and over agаin Kiss kisѕ""",1,0,https://eurovisionworld.com/eurovision/2025/czechia
9,2025,2,Denmark,Sissal,Hallucination,,11,0.35,0.4736842105,0,0,"""You show me more More than meets the eye You open all the doors inside my mind I see colours I never saw before A thousand shades of light come to life
Making me question all that I thought true All that I'm seeing through you My vision's blurry but I can see clearly Baby, I'm losing control
You're my hallu-u-u Hallucination Hallu-u-u Hallucination
I'm paranoid Slipping from reality You're leading me into another fantasy
Oh, making me question all that I thought true All that I'm seeing through you My vision is blurry but I can see clearly Maybe I'm losing control
You're my hallu-u-u Hallucination Hallu-u-u Hallucination A new-ew-ew Revelation Hallu-u-u Hallucination
Worlds are changing Darkness fading I follow you to the end and now I'm changing (Now I'm changing) It's a new sensation
(Worlds are changing) (Darkness fading) (My hallucination) Hallucination (Worlds are changing) (Darknesѕ fading) (My hallucination)
You're my hallu-u-u Hallucination Hallu-u-u Hallucination
Hey yeah, yeah… Hallucination
You're my hallu-u-u Hallucination Hallu-u-u Hallucinаtion""",,"""You show me more More than meets the eye You open all the doors inside my mind I see colours I never saw before A thousand shades of light come to life
Making me question all that I thought true All that I'm seeing through you My vision's blurry but I can see clearly Baby, I'm losing control
You're my hallu-u-u Hallucination Hallu-u-u Hallucination
I'm paranoid Slipping from reality You're leading me into another fantasy
Oh, making me question all that I thought true All that I'm seeing through you My vision is blurry but I can see clearly Maybe I'm losing control
You're my hallu-u-u Hallucination Hallu-u-u Hallucination A new-ew-ew Revelation Hallu-u-u Hallucination
Worlds are changing Darkness fading I follow you to the end and now I'm changing (Now I'm changing) It's a new sensation
(Worlds are changing) (Darkness fading) (My hallucination) Hallucination (Worlds are changing) (Darknesѕ fading) (My hallucination)
You're my hallu-u-u Hallucination Hallu-u-u Hallucination
Hey yeah, yeah… Hallucination
You're my hallu-u-u Hallucination Hallu-u-u Hallucinаtion""",1,0,https://eurovisionworld.com/eurovision/2025/denmark
