idx,year,sf_num,to_country,performer,song,lyrics,lyrics_eng_translation,lyrics_all_english,lyrics_english,lyrics_english_mix
0,2008,1,Russia,Dima Bilan,Believe,"Even when the thunder and storm begins\nI'll be standing strong like a tree in the wind\nNothing's gonna move this mountain\nOr change my direction\n\nI'm falling off the sky\nAnd I'm all alone\nThe courage that's inside's gonna break my fall\nNothing's gonna dim my light within\n\nBut if I keep going on\nIt will never be impossible\nNot today\n\n'Cause I've got something to believe in\nAs long as I'm breathing\nThere is not a limit to what I can dream\n\n'Cause I've got something to believe in\nMission to keep climbing\nNothing else can stop me if I just believe\nAnd I believe in me\n\nEven when the world tries to pull me down\nTell me that I can't, try to turn me around\nI won't let them put my fire out, without no\n\nBut if I keep going on\nIt will never be impossible\nNot today\n\nYes, I've got something to believe in\nAs long as I'm breathing\nThere is not a limit to what I can dream\n\n'Cause I've got something to believe in\nMission to keep climbing\nNothing else can stop me if I just believe\n\nAnd I believe I can do it all\nOpen every door\nTurn unthinkable to reality\nYou'll see, I can do it all and more\n\nBelieving, as long as I'm breathing\nThere is not a limit to what I can dream\nBelieving, mission to keep climbing\nNothing else can stop me if I just believe\nAnd I believe in me",,"Even when the thunder and storm begins\nI'll be standing strong like a tree in the wind\nNothing's gonna move this mountain\nOr change my direction\n\nI'm falling off the sky\nAnd I'm all alone\nThe courage that's inside's gonna break my fall\nNothing's gonna dim my light within\n\nBut if I keep going on\nIt will never be impossible\nNot today\n\n'Cause I've got something to believe in\nAs long as I'm breathing\nThere is not a limit to what I can dream\n\n'Cause I've got something to believe in\nMission to keep climbing\nNothing else can stop me if I just believe\nAnd I believe in me\n\nEven when the world tries to pull me down\nTell me that I can't, try to turn me around\nI won't let them put my fire out, without no\n\nBut if I keep going on\nIt will never be impossible\nNot today\n\nYes, I've got something to believe in\nAs long as I'm breathing\nThere is not a limit to what I can dream\n\n'Cause I've got something to believe in\nMission to keep climbing\nNothing else can stop me if I just believe\n\nAnd I believe I can do it all\nOpen every door\nTurn unthinkable to reality\nYou'll see, I can do it all and more\n\nBelieving, as long as I'm breathing\nThere is not a limit to what I can dream\nBelieving, mission to keep climbing\nNothing else can stop me if I just believe\nAnd I believe in me",1,0
1,2008,2,Ukraine,Ani Lorak,Shady Lady,"You've been my superstar\nBut it's not what you are\nYou've been my super hero\nSince I've lived in your shade\nEvery step that I made\nBrought me nothing but zero\n\nBut I'm staying alive\nAnd now I'm changin' my life\nWith a burning desire\nNo one knows who I am\nBut I don't give a damn\nGonna set you on fire\n\nShady lady – I'm gonna strike like thunder\nAre you ready? I wanna make you wonder\nRollin' steady – I'm gonna make you shiver\nMy heart is burning\n\nShady lady – I'm gonna strike like thunder\nAre you ready? I wanna make you wonder\nRollin' steady – I'm gonna make you shiver\nMy heart is burning now\n\nJust take a look at me\nDeep inside and you'll see\nAll I kept under cover\nThere is one thing I bet\nYou're about to regret\nI'm no longer your lover\n\nI've just turned one more page\nI belong to the stage\nBaby, don't call me baby\n\nShady lady – I'm gonna strike like thunder\nAre you ready? I wanna make you wonder\nRollin' steady – I'm gonna make you shiver\nMy heart is burning now\n\n(Shady lady)\n(Shady lady)\n\nI wanna light you up and leave you alone\nI am a brand new star that you've never known\nI wanna light you up and leave you alone\nI am a brand new star that you've never known\n\n(Shady lady)\n(Are you ready?)\n\nShady lady – I'm gonna strike like thunder\nAre you ready? I wanna make you wonder\nRollin' steady – I'm gonna make you shiver\nMy heart is burning now",,"You've been my superstar\nBut it's not what you are\nYou've been my super hero\nSince I've lived in your shade\nEvery step that I made\nBrought me nothing but zero\n\nBut I'm staying alive\nAnd now I'm changin' my life\nWith a burning desire\nNo one knows who I am\nBut I don't give a damn\nGonna set you on fire\n\nShady lady – I'm gonna strike like thunder\nAre you ready? I wanna make you wonder\nRollin' steady – I'm gonna make you shiver\nMy heart is burning\n\nShady lady – I'm gonna strike like thunder\nAre you ready? I wanna make you wonder\nRollin' steady – I'm gonna make you shiver\nMy heart is burning now\n\nJust take a look at me\nDeep inside and you'll see\nAll I kept under cover\nThere is one thing I bet\nYou're about to regret\nI'm no longer your lover\n\nI've just turned one more page\nI belong to the stage\nBaby, don't call me baby\n\nShady lady – I'm gonna strike like thunder\nAre you ready? I wanna make you wonder\nRollin' steady – I'm gonna make you shiver\nMy heart is burning now\n\n(Shady lady)\n(Shady lady)\n\nI wanna light you up and leave you alone\nI am a brand new star that you've never known\nI wanna light you up and leave you alone\nI am a brand new star that you've never known\n\n(Shady lady)\n(Are you ready?)\n\nShady lady – I'm gonna strike like thunder\nAre you ready? I wanna make you wonder\nRollin' steady – I'm gonna make you shiver\nMy heart is burning now",1,0
2,2008,1,Greece,Kalomira,Secret Combination,"Can you see it?\nCan you see it you have to discover me?\nWhat goes wrong when I am crying\nOr what I want when I'm smiling\n\nCan you feel it?\nCan you feel it that I'm not a little girl?\nYou're misunderstanding my way\nAnd all the roles that I like to play\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\n\nAn open book\nAn open book, well, I'm sorry, I am not\nSometimes I'm acting like a lady\nSometimes woman, sometimes baby\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\nTo win a destination in the centre of my heart",,"Can you see it?\nCan you see it you have to discover me?\nWhat goes wrong when I am crying\nOr what I want when I'm smiling\n\nCan you feel it?\nCan you feel it that I'm not a little girl?\nYou're misunderstanding my way\nAnd all the roles that I like to play\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\n\nAn open book\nAn open book, well, I'm sorry, I am not\nSometimes I'm acting like a lady\nSometimes woman, sometimes baby\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\n\nMy secret combination – it's a mystery for you\nUse your imagination, I'm not easy, but I'm true\nMy secret combination – boy, you have to try it hard\nTo win a destination in the centre of my heart\nTo win a destination in the centre of my heart",1,0
3,2008,1,Armenia,Sirusho,"Qele, Qele","Yes im hay hoghits\nEka berem\nHove sareri\nLuyse arevi\n\nYou wanna be with me\nYou think and dream of me\nCome qele, move qele\n\nInstead of watching me\nYou should be reaching me\nCome qele, move qele\n\n(Qe... qe... qe... qele)\n\nQele, qele\nQele, qele\nQele, qele\nQele...\n\nTime is here tonight\nYou should make it right\nTo end our fight\nJust hold me tight\n\nHold me tight\nHold me tight, qele...\n\nYou wanna be with me\nYou think and dream of me\nCome qele, move qele\n\nInstead of watching me\nYou should be reaching me\nCome qele, move qele\n\n(Qe... qe... qe... qele)\n\nQele, qele\nQele, qele\nQele, qele\nQele...\n\nTime is here tonight\nYou should make it right\nTo end our fight\nJust hold me tight\n\nQele...\nQele...\n\n(Qele, qele, qele)\n\nQele, qele\nQele, qele\nQele, qele\nQele...\n\nTime is here tonight\nYou should make it right\nTo end our fight\nJust hold me tight\n\n(Qe... qe... qe... qele)","From my Armenian soil I came to bring The wind of the mountains The light of the sun
You wanna be with me  You think and dream of me  Come,  let's go, move,  let's go
Instead of watching me  You should be reaching me  Come,  let's go, move,  let's go
(Let's, let's, let's, let's go)
Let's go, let's go Let's go, let's go Let's go, let's go Let's go…
Time is here tonight  You should make it right  To end our fight  Just hold me tight 
Hold me tight  Hold me tight,  let's go
You wanna be with me  You think and dream of me  Come,  let's go, move,  let's go
Instead of watching me  You should be reaching me  Come,  let's go, move,  let's go
(Let's, let's, let's, let's go)
Let's go, let's go Let's go, let's go Let's go, let's go Let's go…
Time is here tonight  You should make it right  To end our fight  Just hold me tight 
Let's go… Let's go…
(Let's go, let's go, let's go…)
Let's go, let's go Let's go, let's go Let's go, let's go Let's go…
Time is here tonight  You should mаke it right  To end our fight  Just hold me tight 
(Let's, let's, let's, let'ѕ go)","From my Armenian soil I came to bring The wind of the mountains The light of the sun
You wanna be with me  You think and dream of me  Come,  let's go, move,  let's go
Instead of watching me  You should be reaching me  Come,  let's go, move,  let's go
(Let's, let's, let's, let's go)
Let's go, let's go Let's go, let's go Let's go, let's go Let's go…
Time is here tonight  You should make it right  To end our fight  Just hold me tight 
Hold me tight  Hold me tight,  let's go
You wanna be with me  You think and dream of me  Come,  let's go, move,  let's go
Instead of watching me  You should be reaching me  Come,  let's go, move,  let's go
(Let's, let's, let's, let's go)
Let's go, let's go Let's go, let's go Let's go, let's go Let's go…
Time is here tonight  You should make it right  To end our fight  Just hold me tight 
Let's go… Let's go…
(Let's go, let's go, let's go…)
Let's go, let's go Let's go, let's go Let's go, let's go Let's go…
Time is here tonight  You should mаke it right  To end our fight  Just hold me tight 
(Let's, let's, let's, let'ѕ go)",0,1
4,2008,1,Norway,Maria,Hold On Be Strong,"Love can be hard sometimes\nYes, it can catch you off guard like bad crimes\nYes, it can make you depressed and angry\nMake you say: Why me, why won't anybody try me?\n\nYou might be saying: Ooh, I don't wanna be lonely\nOoh, I don't wanna be by myself\nOoh, don't wanna be lonely\nWhy ain't anybody lovin' me?\n\nBut there's always someone out there who'll be there for you\nThere is always someone out there who'll care for you\nThere's always someone out there who'll be true, true, true\nHold on, hold on, be strong\n\nLove can go away forever if you push it\nAnd you have to remember: don't rush it\nIf it ain't right, it is wrong\nAnd you'll be crying: Why me, why won't anybody try me?\n\nYou might be saying: Ooh, I don't wanna be lonely\nOoh, I don't wanna be by myself\nOoh, don't wanna be lonely, oh no no\nWhy ain't anybody lovin' me?\n\nNow, but there's always someone out there who'll be there for you\nAnd there's always someone out there who'll care for you\nThere's always someone out there who'll be true, true, true\nHold on, hold on, be strong\n\nAnd yes, there's always someone out there who'll be there for you\nAnd there's always someone out there who'll care for you\nThere's always someone out there who'll be true, true, true\nHold on, hold on, be strong\n\nHold on, hold on, be strong\nMy child, hold on, hold on, be strong",,"Love can be hard sometimes\nYes, it can catch you off guard like bad crimes\nYes, it can make you depressed and angry\nMake you say: Why me, why won't anybody try me?\n\nYou might be saying: Ooh, I don't wanna be lonely\nOoh, I don't wanna be by myself\nOoh, don't wanna be lonely\nWhy ain't anybody lovin' me?\n\nBut there's always someone out there who'll be there for you\nThere is always someone out there who'll care for you\nThere's always someone out there who'll be true, true, true\nHold on, hold on, be strong\n\nLove can go away forever if you push it\nAnd you have to remember: don't rush it\nIf it ain't right, it is wrong\nAnd you'll be crying: Why me, why won't anybody try me?\n\nYou might be saying: Ooh, I don't wanna be lonely\nOoh, I don't wanna be by myself\nOoh, don't wanna be lonely, oh no no\nWhy ain't anybody lovin' me?\n\nNow, but there's always someone out there who'll be there for you\nAnd there's always someone out there who'll care for you\nThere's always someone out there who'll be true, true, true\nHold on, hold on, be strong\n\nAnd yes, there's always someone out there who'll be there for you\nAnd there's always someone out there who'll care for you\nThere's always someone out there who'll be true, true, true\nHold on, hold on, be strong\n\nHold on, hold on, be strong\nMy child, hold on, hold on, be strong",1,0
5,2008,,Serbia,Jelena Tomašević feat. Bora Dugic,Oro,"Ko li miluje milo moje?\nKo li usne te snene budi?\nNe zaboravi ime moje\nKada krene da, da te ljubi\nKlasje moje ne spavaj\nNjega ljubi, mene uspavaj\n\nNe lomi mi led, vodu nema\nNe soli mi ranu, suza nema\nKo li zaigra oro moje\nNeka ne igra za nas dvoje\nKlasje, mene uspavaj\n\nNuna nej, nuna nuna nuna nuna nuna nej\nNuna nej, nuna nuna nuna nuna nuna nej\nNa Vidovdan, probudi me, da ga opet pogledam\n\nNuna nej, nuna nuna nuna nuna nuna nej\nNuna nej, nuna nuna nuna nuna nuna nej\nNa Vidovdan, probudi me, da ga opet pogledam\nNa Vidovdan, probudi me, još jednom da ga pogledam","Who caresses my loved one? Who kisses those sleepy lips? Don't forget my name When she begins to kiss you My dear cornstalks, don't sleep Kiss him, and put me asleep
Don't break my ice, there's no water within Don't put salt on my wound, I have no more tears Whoever dances my Oro He shouldn't dance it for the two of us Cornstalks, put me to sleep
Nuna ney, nuna nuna nuna nuna nuna ney Nuna ney, nuna nuna nuna nuna nuna ney Wake me on Saint Vitus' day, to look at him again
Nuna ney, nuna nuna nuna nuna nuna ney Nuna ney, nuna nuna nuna nuna nuna ney Wake me on Saint Vitus' day, to look at him again Wake me on Saint Vituѕ' day, to look аt him once more","Who caresses my loved one? Who kisses those sleepy lips? Don't forget my name When she begins to kiss you My dear cornstalks, don't sleep Kiss him, and put me asleep
Don't break my ice, there's no water within Don't put salt on my wound, I have no more tears Whoever dances my Oro He shouldn't dance it for the two of us Cornstalks, put me to sleep
Nuna ney, nuna nuna nuna nuna nuna ney Nuna ney, nuna nuna nuna nuna nuna ney Wake me on Saint Vitus' day, to look at him again
Nuna ney, nuna nuna nuna nuna nuna ney Nuna ney, nuna nuna nuna nuna nuna ney Wake me on Saint Vitus' day, to look at him again Wake me on Saint Vituѕ' day, to look аt him once more",0,0
6,2008,2,Turkey,Mor ve Ötesi,Deli,"Aranıyor, sahibi ruhumun\nTam yerine mi düştüm?\nDireniyor, faili tutkunun\nKızmış ve küçülmüş\n\nAranıyor, sahibi ruhumun\nTam yerine mi düştüm?\nDireniyor, direniyor, direniyor\n\nBeni büyütün, ağlatmayın\nSevginiz nerde, övündüğünüz?\nBeni büyütün, ağlatmayın\nSahte düşlerle oyalamayın\n\nAranıyor, sahibi ruhumun\nTam yerine mi düştüm?\nDireniyor, faili tutkunun\nKızmış ve küçülmüş\n\nAranıyor, sahibi ruhumun\nTam yerine mi düştüm?\nDireniyor, direniyor, direniyor\n\nBeni büyütün, ağlatmayın\nSevginiz nerde, övündüğünüz?\nBeni büyütün, ağlatmayın\nSahte düşlerle\n\nBir yarım akıllı, bir yarım deli\nDört yanım akıllı, bir yanım deli\nHerkes akıllı, bir ben deli\nBir ben deli, bir ben deli\n\nBeni büyütün, ağlatmayın\nSevginiz nerde, övündüğünüz?\nBeni büyütün, ağlatmayın\nSahte düşlerle oyalamayın","The owner of my soul is looked for Did I land in the right place? The perpetrator of my passion is resisting He's angry and diminished
The owner of my soul is looked for Did I land in the right place? He's resisting, resisting, resisting
Raise me, don't make me cry Where's the love you're proud of? Raise me, don't make me cry Don't waste my time with fake dreams
The owner of my soul is looked for Did I land in the right place? The perpetrator of my passion is resisting He's angry and diminished
The owner of my soul is looked for Did I land in the right place? He's resisting, resisting, resisting
Raise me, don't make me cry Where's the love you're proud of? Raise me, don't make me cry Fake dreams
I'm one half sane, one half insane I'm four sides sane, one side insane Everybody is sane, only I am insane Only I am insane, only I am insane
Raise me, don't make me cry Where's the love you're proud of? Raise me, don't make me cry Don't waste my time with fake dreаmѕ","The owner of my soul is looked for Did I land in the right place? The perpetrator of my passion is resisting He's angry and diminished
The owner of my soul is looked for Did I land in the right place? He's resisting, resisting, resisting
Raise me, don't make me cry Where's the love you're proud of? Raise me, don't make me cry Don't waste my time with fake dreams
The owner of my soul is looked for Did I land in the right place? The perpetrator of my passion is resisting He's angry and diminished
The owner of my soul is looked for Did I land in the right place? He's resisting, resisting, resisting
Raise me, don't make me cry Where's the love you're proud of? Raise me, don't make me cry Fake dreams
I'm one half sane, one half insane I'm four sides sane, one side insane Everybody is sane, only I am insane Only I am insane, only I am insane
Raise me, don't make me cry Where's the love you're proud of? Raise me, don't make me cry Don't waste my time with fake dreаmѕ",0,0
7,2008,1,Azerbaijan,Elnur & Samir,Day After Day,"For peace we pray\nSave us from all fears\nOh Lord, save us...\n\nYou can feel me in your mind\nWith every breath you take\nBurn the earth with flame of sins\nI'll make you feel dismay\n\nOur feelings play with us\nBut you must keep yourself under control\nIf you're searching for resolves\nBe ready for the tolls\n\nShow us the right way\nDay after day\nAll fears we must forget\nThen better world we'll get\n\nIf you have the greatest aim\nKeep it in your soul\nI'll be always by your side\nAlways in your heart\n\nOur dreams can play with us\nEven if we think that we keep control\nFrom all horrors of the world\nSalvation is love, love\n\nThe earth is in flame\nAnd you must share the blame\nLook inside yourself\nWe both are there\n\nDay after day\nDay after day\nDay...\n\nDay after day\nAll fears we must forget\nThen better world we'll get\nThen better world we'll get\nThen better world we'll get\nThen better world we'll get",,"For peace we pray\nSave us from all fears\nOh Lord, save us...\n\nYou can feel me in your mind\nWith every breath you take\nBurn the earth with flame of sins\nI'll make you feel dismay\n\nOur feelings play with us\nBut you must keep yourself under control\nIf you're searching for resolves\nBe ready for the tolls\n\nShow us the right way\nDay after day\nAll fears we must forget\nThen better world we'll get\n\nIf you have the greatest aim\nKeep it in your soul\nI'll be always by your side\nAlways in your heart\n\nOur dreams can play with us\nEven if we think that we keep control\nFrom all horrors of the world\nSalvation is love, love\n\nThe earth is in flame\nAnd you must share the blame\nLook inside yourself\nWe both are there\n\nDay after day\nDay after day\nDay...\n\nDay after day\nAll fears we must forget\nThen better world we'll get\nThen better world we'll get\nThen better world we'll get\nThen better world we'll get",1,0
8,2008,1,Israel,Boaz,The Fire In Your Eyes,"Nafshi meyachelet litfilat halev hacham\n\nZe kashe, ze kashe\nKshega'agu'a mul yareach\nKan lerega uvoreach\nAcharav rodef habechi\n\nZe kashe, ze kashe\nKshega'agu'a mul yareach\nKan lerega uvoreach\nAcharav rodef habechi\n\nLif'amim mevi haruach reach tov, mukar\nMelatef, achshav shome'a otcha shar\n\nLo or kochav\nAta achshav\nIti, iti, ke'ilu amiti\nKmo az mizman\n\nCome along, come along\nSee the fire in your eyes\nAnd you come with me\nWith me\n\nLif'amim mevi haruach reach tov, mukar\nMelatef, achshav shome'a\n\nLo or kochav\nAta achshav\nIti, iti, ke'ilu amiti\nKmo az mizman\n\nNafshi meyachalat litfilot halev wacham\nNafshi meyachalat litfilot halev wacham\n\nLo or kochav\nIti, iti, ke'ilu amiti\nKmo az mizman","My soul is longing for the warm heart's prayer
It is hard, it is hard When a longing by moonlight Is here for a moment and then flees The tears go after it
It is hard, it is hard When a longing by moonlight Is here for a moment and then flees The tears go after it
Sometimes the wind brings a good, familiar scent It caresses, listens to you sing now
Not starlight You are now With me, with me, as if real Like back then long ago
Come along, come along See the fire in your eyes And you come with me With me
Sometimes the wind brings a good, familiar scent It caresses, listens now
Not starlight You are now With me, with me, as if real Like back then long ago
My soul is longing for the warm heart's prayer My soul is longing for the warm heart's prayer
Not starlight With me, with me, aѕ if real Like back then long аgo","My soul is longing for the warm heart's prayer
It is hard, it is hard When a longing by moonlight Is here for a moment and then flees The tears go after it
It is hard, it is hard When a longing by moonlight Is here for a moment and then flees The tears go after it
Sometimes the wind brings a good, familiar scent It caresses, listens to you sing now
Not starlight You are now With me, with me, as if real Like back then long ago
Come along, come along See the fire in your eyes And you come with me With me
Sometimes the wind brings a good, familiar scent It caresses, listens now
Not starlight You are now With me, with me, as if real Like back then long ago
My soul is longing for the warm heart's prayer My soul is longing for the warm heart's prayer
Not starlight With me, with me, aѕ if real Like back then long аgo",0,1
9,2008,1,Bosnia & Herzegovina,Laka,Pokušaj,"(Ne silazi sa čardaka)\n(Rek'o mi je pjevač Laka)\n(Ne klepeći nanulama)\n(Nemoj da se praviš dama)\n\n(Ne silazi sa čardaka)\n(Rek'o mi je lično Laka)\n(Ne silazi sa čardaka)\n(Dok ti ljubav nije jaka)\n\nNa moju omiljenu foru\nPrevarim faunu i floru\nDa život nije postao u moru\nNego od ljubavi\nLjubavi, ljubavi\nOd ljubavi\n\nKolike protračismo dane\nLežeći, jedući banane\nPa spadosmo na niske grane\nBez ljubavi\nLjubavi, ljubavi\nBez ljubavi\n\nPokušaću da te poljubim a ti se pravi luda\nPokušaću da te poljubim a ti se pravi luda\nPokušaću da te probudim a ti se pravi budna\n\n(Ne silazi sa čardaka)\n(Rek'o mi je pjevač Laka)\n(Ne klepeći nanulama)\n(Nemoj da se praviš dama)\n\n(Ne silazi sa čardaka)\n(Rek'o mi je lično Laka)\n(Ne silazi sa čardaka)\n(Dok ti ljubav nije jaka)\n\nPokušaću da te poljubim a ti se pravi luda\nPokušaću da te poljubim a ti se pravi luda\nPokušaću da te probudim a ti se pravi budna\n\nPokušaću da te poljubim a ti se pravi luda\n(Ne silazi sa čardaka)\n(Rek'o mi je pjevač Laka)\nPokušaću da te poljubim a ti se pravi luda\n(Ne klepeći nanulama)\n(Nemoj da se praviš dama)\nPokušaću da te probudim a ti se pravi budna","Don't come down from the balcony Laka the singer told me Don't make noise with your sandals Don't pretend to be a lady
Don't come down from the balcony Laka told me personally Don't come down from the balcony Until your love is strong
I tricked both fauna and flora With my favourite prank That life did not begin in the sea But of love Love, love Of love
How many days did we spend Lying down, eating bananas And then we fell onto the lower branches Without love Love, love Without love
I'll try to kiss you and you can act foolish I'll try to kiss you and you can act foolish I'll try to wake you up and you can pretend you're awake
Don't come down from the balcony Laka the singer told me Don't make noise with your sandals Don't pretend to be a lady
Don't come down from the balcony Laka told me personally Don't come down from the balcony Until your love is strong
I'll try to kiss you and you can act foolish I'll try to kiss you and you can act foolish I'll try to wake you up and you can pretend you're awake
I'll try to kiss you and you can act foolish Don't come down from the balcony Laka the singer told me I'll try to kiss you and you can act foolish Don't make noise with your sandalѕ Don't pretend to be a lady I'll try to wake you up and you can pretend you're awаke","Don't come down from the balcony Laka the singer told me Don't make noise with your sandals Don't pretend to be a lady
Don't come down from the balcony Laka told me personally Don't come down from the balcony Until your love is strong
I tricked both fauna and flora With my favourite prank That life did not begin in the sea But of love Love, love Of love
How many days did we spend Lying down, eating bananas And then we fell onto the lower branches Without love Love, love Without love
I'll try to kiss you and you can act foolish I'll try to kiss you and you can act foolish I'll try to wake you up and you can pretend you're awake
Don't come down from the balcony Laka the singer told me Don't make noise with your sandals Don't pretend to be a lady
Don't come down from the balcony Laka told me personally Don't come down from the balcony Until your love is strong
I'll try to kiss you and you can act foolish I'll try to kiss you and you can act foolish I'll try to wake you up and you can pretend you're awake
I'll try to kiss you and you can act foolish Don't come down from the balcony Laka the singer told me I'll try to kiss you and you can act foolish Don't make noise with your sandalѕ Don't pretend to be a lady I'll try to wake you up and you can pretend you're awаke",0,0
